"School","Year","Games","Wins","Losses","Ties","PreseasonRank","PostseasonRank","Srs","SpOverall","SpOffense","SpDefense","FirstName","LastName","HireDate"
"New Mexico State","2021","12","2","10","0","","","-20.6","-24.2","20.6","43.7","Doug","Martin","2013-02-01T00:00:00.000Z"
"Oregon","2021","1","0","1","0","11","22","9.9","10.2","35","26","Bryan","McClendon",""
"Central Michigan","2021","13","9","4","0","","","-5.3","-1","28.5","29.3","Jim","McElwain","2018-12-03T00:00:00.000Z"
"Virginia","2021","12","6","6","0","","","2.1","7.2","39.3","31.5","Bronco","Mendenhall","2015-12-04T00:00:00.000Z"
"Massachusetts","2021","3","0","3","0","","","-19.7","-29.3","16.1","43.9","Alex","Miller",""
"Army","2021","13","9","4","0","","","4.6","4.7","28.8","23.5","Jeff","Monken","2013-12-24T00:00:00.000Z"
"Tulsa","2021","13","7","6","0","","","-1.1","5.8","28.7","24","Philip","Montgomery","2014-12-11T00:00:00.000Z"
"Florida","2021","11","5","6","0","13","","7.2","11","35","23.2","Dan","Mullen","2017-11-26T00:00:00.000Z"
"Louisiana","2021","13","12","1","0","23","16","5.7","8.7","30.3","21.2","Billy","Napier","2017-12-15T00:00:00.000Z"
"Pittsburgh","2021","14","11","3","0","","13","10.8","17.6","38.2","21.4","Pat","Narduzzi","2014-12-16T00:00:00.000Z"
"Ball State","2021","13","6","7","0","","","-7.3","-11.2","21.6","33.7","Mike","Neu","2016-01-17T00:00:00.000Z"
"Navy","2021","12","4","8","0","","","-5.5","-8.5","20","27.7","Ken","Niumatalolo","2007-12-08T00:00:00.000Z"
"Nevada","2021","12","8","4","0","","","6.3","3.6","30.3","26.9","Jay","Norvell","2016-12-07T00:00:00.000Z"
"Florida State","2021","12","5","7","0","","","4","7.6","29.8","23","Mike","Norvell","2019-12-07T00:00:00.000Z"
"LSU","2021","12","6","6","0","16","","5.4","4.1","28","25.6","Ed","Orgeron","2016-11-26T00:00:00.000Z"
"TCU","2021","8","3","5","0","","","-2.8","-0.6","33.2","33.9","Gary","Patterson","2000-12-08T00:00:00.000Z"
"Arkansas","2021","13","9","4","0","","21","9.7","13.8","34.3","21.3","Sam","Pittman","2019-12-08T00:00:00.000Z"
"Virginia Tech","2021","3","1","2","0","","","1.2","2.4","26.7","25.2","J.C.","Price",""
"Old Dominion","2021","13","6","7","0","","","-9.2","-7.4","21.2","28","Ricky","Rahne","2019-12-07T00:00:00.000Z"
"Oklahoma","2021","12","10","2","0","2","10","9.5","16.8","41.1","25.6","Lincoln","Riley","2017-06-07T00:00:00.000Z"
"Akron","2021","3","0","3","0","","","-22.6","-23.1","20.3","41.7","Oscar","Rodriguez",""
"Washington State","2021","7","4","3","0","","","4.5","6.7","32","26","Nick","Rolovich","2020-01-13T00:00:00.000Z"
"Alabama","2021","15","13","2","0","1","2","19.5","26","40.9","15.6","Nick","Saban","2007-01-03T00:00:00.000Z"
"Texas","2021","12","5","7","0","21","","3.9","8.5","34.6","28.4","Steve","Sarkisian","2021-01-02T00:00:00.000Z"
"Louisville","2021","13","6","7","0","","","8.1","7.8","34.9","26.6","Scott","Satterfield","2018-12-04T00:00:00.000Z"
"Rutgers","2021","13","5","8","0","","","0.4","-3","20.8","23.7","Greg","Schiano","2019-11-30T00:00:00.000Z"
"South Florida","2021","12","2","10","0","","","-10.5","-12.1","23.5","36.2","Jeff","Scott","2019-12-09T00:00:00.000Z"
"Stanford","2021","12","3","9","0","","","-2.7","-10.2","22.2","33.6","David","Shaw","2011-12-13T00:00:00.000Z"
"Memphis","2021","12","6","6","0","","","-3","1","29.6","27.9","Ryan","Silverfield","2019-12-13T00:00:00.000Z"
"Miami","2021","0","0","0","0","14","","2.9","10.8","34.8","25","Jess","Simpson",""
"BYU","2021","13","10","3","0","","19","8","8.9","37.2","27.9","Kalani","Sitake","2015-12-19T00:00:00.000Z"
"Georgia","2021","15","14","1","0","5","1","27.9","32","41.4","10.3","Kirby","Smart","2015-12-06T00:00:00.000Z"
"Oregon State","2021","13","7","6","0","","","7.5","8.9","36.9","28.5","Jonathan","Smith","2017-11-29T00:00:00.000Z"
"UConn","2021","10","1","9","0","","","-21.4","-25.6","12.7","36.8","Lou","Spanos",""
"Texas State","2021","12","4","8","0","","","-15.6","-16","20.7","36.9","Jake","Spavital","2018-11-28T00:00:00.000Z"
"Middle Tennessee","2021","13","7","6","0","","","-8.2","-4","24","27.1","Rick","Stockstill","2005-12-12T00:00:00.000Z"
"Oklahoma","2021","1","1","0","0","2","10","9.5","16.8","41.1","25.6","Bob","Stoops",""
"Kentucky","2021","13","10","3","0","","18","9","13.4","35.1","22.3","Mark","Stoops","2012-11-27T00:00:00.000Z"
"Clemson","2021","13","10","3","0","3","14","11.1","18.7","28.3","11.6","Dabo","Swinney","2008-10-15T00:00:00.000Z"
"Florida Atlantic","2021","12","5","7","0","","","-7.6","-5.2","23.1","28.4","Willie","Taggart","2019-12-12T00:00:00.000Z"
"Nevada","2021","1","0","1","0","","","6.3","3.6","30.3","26.9","Vai","Taua",""
"UTSA","2021","14","12","2","0","","","6.4","6.5","33","27.8","Jeff","Traylor","2019-12-09T00:00:00.000Z"
"Michigan State","2021","13","11","2","0","","9","11.1","11.2","34.3","21.7","Mel","Tucker","2020-02-11T00:00:00.000Z"
"Texas Tech","2021","8","5","3","0","","","-1.7","9.8","34.6","27.1","Matt","Wells","2018-11-29T00:00:00.000Z"
"Georgia Southern","2021","8","2","6","0","","","-14.9","-15.3","18.4","34","Kevin","Whitley",""
"Utah","2021","14","10","4","0","24","12","15.3","15.2","37.2","20.7","Kyle","Whittingham","2004-12-08T00:00:00.000Z"
"California","2021","12","5","7","0","","","3.6","3.4","27.5","25","Justin","Wilcox","2017-01-14T00:00:00.000Z"
"USC","2021","10","3","7","0","15","","0.4","-0.6","32.3","33.4","Donte","Williams",""
"South Alabama","2021","12","5","7","0","","","-8.6","-7.2","21.4","28","Kane","Wommack","2020-12-12T00:00:00.000Z"
